id,profilePicture,farmerId,status,cattle,cattleUID,cattleName,category,age,breed,weight,createdAt,updatedAt
138,https://res.cloudinary.com/your-highness/image/upload/v1616399568/t28bvnyma5ynfwgzcu8r.jpg,93,healthy,cow,009600600944,Murugan,calf,2020-03-22 07:50:26+00,gir,55,2021-03-22 07:52:49.541+00,2021-03-22 07:52:49.542+00
551,https://res.cloudinary.com/your-highness/image/upload/v1619619918/wpbjhpoi2kv2rbqubgyp.jpg,596,healthy,cow,442299887245,jersey,calf,2018-06-16 14:22:05+00,jersey,286,2021-04-28 14:25:18.247+00,2021-04-28 14:25:18.247+00
140,https://res.cloudinary.com/your-highness/image/upload/v1616400339/coq5ufhwwl5ebnszkpqd.jpg,91,healthy,cow,12345678910219,Cow,milking,2016-03-22 07:41:36+00,jersey,400,2021-03-22 08:05:39.971+00,2021-03-22 08:05:39.971+00
141,https://res.cloudinary.com/your-highness/image/upload/v1616400801/wj8bptrodtv8zapylhge.jpg,92,healthy,cow,256234256392,Gersi,calf,2020-01-10 08:08:19+00,godavari,250,2021-03-22 08:13:24.791+00,2021-03-22 08:13:24.791+00
143,https://res.cloudinary.com/your-highness/image/upload/v1616400893/rqn6pp6yuse2zsmvdkps.jpg,92,healthy,cow,639285632485,Gersi,calf,2020-01-10 08:08:19+00,godavari,250,2021-03-22 08:14:53.821+00,2021-03-22 08:14:53.821+00
144,https://res.cloudinary.com/your-highness/image/upload/v1616402017/g4andahutm966o0uqb7o.jpg,84,healthy,cow,964658678264,Jersey,dry,2019-03-20 08:31:50+00,jersey,240,2021-03-22 08:33:38.28+00,2021-03-22 08:33:38.28+00
274,https://res.cloudinary.com/your-highness/image/upload/v1618246419/c4xww9u7rinl0yvnfmsu.jpg,71,healthy,cow,"",Ramu,calf,2019-04-12 16:52:08+00,hf - holstein friesian,450,2021-04-12 16:53:39.333+00,2021-04-12 16:53:39.334+00
146,https://res.cloudinary.com/your-highness/image/upload/v1616404488/cdu9ydwhzk6xz5ukgd3d.jpg,107,healthy,cow,994424217599,Jersey,milking,2020-03-01 09:09:19+00,godavari,300,2021-03-22 09:14:48.92+00,2021-03-22 09:14:48.921+00
147,https://res.cloudinary.com/your-highness/image/upload/v1616404514/xfjqtbsiinsrn21anf8s.jpg,107,healthy,cow,994424217591,Jersey,milking,2020-03-01 09:09:19+00,godavari,300,2021-03-22 09:15:14.347+00,2021-03-22 09:15:14.347+00
148,https://res.cloudinary.com/your-highness/image/upload/v1616404799/lyynfullddyplcmo3xae.jpg,109,sick,cow,"",Hfl,milking,2018-03-22 09:15:46+00,jersey,390,2021-03-22 09:19:59.974+00,2021-03-22 09:19:59.974+00
149,https://res.cloudinary.com/your-highness/image/upload/v1616405986/fqim3zhaddtswupfvthv.jpg,108,healthy,cow,959729296512,Hf,heifer,2020-03-22 09:35:40+00,hf - holstein friesian,300,2021-03-22 09:39:47.056+00,2021-03-22 09:39:47.056+00
150,https://res.cloudinary.com/your-highness/image/upload/v1616418534/epdloy9tchznedvjf3gg.jpg,110,healthy,cow,"",Big Cattle,milking,2018-03-01 13:06:08+00,godavari,460,2021-03-22 13:08:55.544+00,2021-03-22 13:08:55.545+00
151,https://res.cloudinary.com/your-highness/image/upload/v1616418546/slzzs8poclkjv0wzy5r1.jpg,110,healthy,cow,"",Big Cattle,milking,2018-03-01 13:06:08+00,godavari,460,2021-03-22 13:09:06.447+00,2021-03-22 13:09:06.449+00
152,https://res.cloudinary.com/your-highness/image/upload/v1616418559/qmd9fa7hmkonwpgsox3i.jpg,110,healthy,cow,"",Big Cattle,milking,2018-03-01 13:06:08+00,godavari,460,2021-03-22 13:09:20.204+00,2021-03-22 13:09:20.205+00
153,https://res.cloudinary.com/your-highness/image/upload/v1616418572/jmol7hcrpk1ncmhvarsw.jpg,110,healthy,cow,"",Big Cattle,milking,2018-03-01 13:06:08+00,godavari,460,2021-03-22 13:09:33.351+00,2021-03-22 13:09:33.352+00
154,https://res.cloudinary.com/your-highness/image/upload/v1616418583/d69coputjjopofjt6kmz.jpg,110,healthy,cow,"",Big Cattle,milking,2018-03-01 13:06:08+00,godavari,460,2021-03-22 13:09:43.689+00,2021-03-22 13:09:43.689+00
155,https://res.cloudinary.com/your-highness/image/upload/v1616418598/nnuhcpdw1u8loemnqbws.jpg,110,healthy,cow,"",Big Cattle,milking,2018-03-01 13:06:08+00,godavari,460,2021-03-22 13:09:59.536+00,2021-03-22 13:09:59.537+00
156,https://res.cloudinary.com/your-highness/image/upload/v1616418610/nvc6suimckclmcfospqo.jpg,110,healthy,cow,"",Big Cattle,milking,2018-03-01 13:06:08+00,godavari,460,2021-03-22 13:10:10.798+00,2021-03-22 13:10:10.798+00
157,https://res.cloudinary.com/your-highness/image/upload/v1616418618/hmah34pt92gdzqa3zr1u.jpg,110,healthy,cow,"",Big Cattle,milking,2018-03-01 13:06:08+00,godavari,460,2021-03-22 13:10:19.47+00,2021-03-22 13:10:19.47+00
158,https://res.cloudinary.com/your-highness/image/upload/v1616418629/soyuidotpcnepcepythk.jpg,110,healthy,cow,"",Big Cattle,milking,2018-03-01 13:06:08+00,godavari,460,2021-03-22 13:10:29.81+00,2021-03-22 13:10:29.81+00
159,https://res.cloudinary.com/your-highness/image/upload/v1616418638/lvfdzv90frrvh3bqztzh.jpg,110,healthy,cow,"",Big Cattle,milking,2018-03-01 13:06:08+00,godavari,460,2021-03-22 13:10:38.681+00,2021-03-22 13:10:38.682+00
160,https://res.cloudinary.com/your-highness/image/upload/v1616418647/oo7zr8b98fsabhnwbqdf.jpg,110,healthy,cow,"",Big Cattle,milking,2018-03-01 13:06:08+00,godavari,460,2021-03-22 13:10:47.951+00,2021-03-22 13:10:47.951+00
161,https://res.cloudinary.com/your-highness/image/upload/v1616418654/y1w9yy3kxk187ihes0wv.jpg,110,healthy,cow,"",Big Cattle,milking,2018-03-01 13:06:08+00,godavari,460,2021-03-22 13:10:55.274+00,2021-03-22 13:10:55.274+00
162,https://res.cloudinary.com/your-highness/image/upload/v1616418668/oule797uwl4alqnsjkmx.jpg,110,healthy,cow,"",Big Cattle,milking,2018-03-01 13:06:08+00,godavari,460,2021-03-22 13:11:08.989+00,2021-03-22 13:11:08.99+00
163,https://res.cloudinary.com/your-highness/image/upload/v1616418695/pgnjhicatuslxtoeuzwf.jpg,110,healthy,cow,"",Big Cattle,milking,2018-03-01 13:06:08+00,godavari,460,2021-03-22 13:11:35.593+00,2021-03-22 13:11:35.593+00
400,https://res.cloudinary.com/your-highness/image/upload/v1619574794/m4iwu8tz4c93jvfiz6wc.jpg,384,healthy,cow,230566451846,Kersey,calf,2019-04-28 01:50:48+00,jersey,230,2021-04-28 01:53:15.381+00,2021-04-28 01:53:15.381+00
129,https://res.cloudinary.com/your-highness/image/upload/v1616399248/cmfjaoiqaltxfpoff02h.jpg,100,healthy,cow,902552038912,Jersey,calf,2019-05-15 07:44:44+00,jersey,250,2021-03-22 07:47:28.327+00,2021-04-28 12:09:01.584+00
164,https://res.cloudinary.com/your-highness/image/upload/v1616418701/qqungwiht9yjuxam1heu.jpg,110,healthy,cow,"",Big Cattle,milking,2018-03-01 13:06:08+00,godavari,460,2021-03-22 13:11:42.012+00,2021-03-22 13:11:42.013+00
165,https://res.cloudinary.com/your-highness/image/upload/v1616418717/gj0lrduvogx3qddyy5qc.jpg,110,healthy,cow,"",Big Cattle,milking,2018-03-01 13:06:08+00,godavari,460,2021-03-22 13:11:57.968+00,2021-03-22 13:11:57.968+00
166,https://res.cloudinary.com/your-highness/image/upload/v1616418775/audxoad6rvswwfx9iepf.jpg,110,healthy,cow,"",Big Cattle,milking,2018-03-01 13:06:08+00,godavari,460,2021-03-22 13:12:56.824+00,2021-03-22 13:12:56.824+00
167,https://res.cloudinary.com/your-highness/image/upload/v1616418881/jzngdmfw16einyucaoww.jpg,110,healthy,cow,"",Big Cattle ,calf,2018-03-01 13:13:37+00,godavari,460,2021-03-22 13:14:44.966+00,2021-03-22 13:14:44.969+00
168,https://res.cloudinary.com/your-highness/image/upload/v1616418899/j3yuyjcexfeehq7o59de.jpg,110,healthy,cow,"",Big Cattle ,calf,2018-03-01 13:13:37+00,godavari,460,2021-03-22 13:15:01.883+00,2021-03-22 13:15:01.883+00
169,https://res.cloudinary.com/your-highness/image/upload/v1616418934/ef1mxjxksrmumrvw8ic1.jpg,110,healthy,cow,"",Big Cattle ,calf,2018-03-01 13:13:37+00,godavari,460,2021-03-22 13:15:35.404+00,2021-03-22 13:15:35.404+00
548,https://res.cloudinary.com/your-highness/image/upload/v1619619661/b40fmdu3e3dh3dhbntog.jpg,593,healthy,cow,"",Hf,milking,2017-04-04 14:11:01+00,jersey,400,2021-04-28 14:21:01.627+00,2021-04-28 14:24:42.392+00
171,https://res.cloudinary.com/your-highness/image/upload/v1616420598/mbykj9ockx6gg8lkwuj1.jpg,113,healthy,buffalo,000000123457,Lakshmi,calf,2017-03-22 13:36:38+00,other,200,2021-03-22 13:43:18.486+00,2021-03-22 13:43:18.486+00
172,https://res.cloudinary.com/your-highness/image/upload/v1616420931/tfoqnovyad3onespz07q.jpg,115,healthy,cow,"",Naupu,calf,2017-03-22 13:43:34+00,jersey,420,2021-03-22 13:48:51.909+00,2021-03-22 13:48:51.911+00
173,https://res.cloudinary.com/your-highness/image/upload/v1616420948/czh0ezsuciicpevcy0sp.jpg,115,healthy,cow,"",Naupu,calf,2017-03-22 13:43:34+00,jersey,420,2021-03-22 13:49:09.854+00,2021-03-22 13:49:09.855+00
174,https://res.cloudinary.com/your-highness/image/upload/v1616464714/sdof9ngm9sqqeggbx4r9.jpg,119,healthy,buffalo,0000000000000,Abc,calf,2017-03-23 01:57:08+00,hf - holstein friesian,250,2021-03-23 01:58:34.481+00,2021-03-23 01:58:34.481+00
175,https://res.cloudinary.com/your-highness/image/upload/v1616465015/zumtgrwkb8k1yaygxc3o.jpg,118,healthy,cow,00000000000000000,Abc,milking,2015-03-23 01:53:27+00,godavari,200,2021-03-23 02:03:35.695+00,2021-03-23 02:03:35.695+00
176,https://res.cloudinary.com/your-highness/image/upload/v1616467119/r4egzydbvy0dvmhwf4eh.jpg,122,healthy,buffalo,000000000012,Abc,dry,2018-03-23 02:34:22+00,hf - holstein friesian,250,2021-03-23 02:38:39.981+00,2021-03-23 02:38:39.981+00
177,https://res.cloudinary.com/your-highness/image/upload/v1616467941/afrfo6xex7anq0ar7qdb.jpg,123,heat,cow,000079556612,Peddadhi,milking,2015-01-15 02:47:54+00,jersey,198,2021-03-23 02:52:21.752+00,2021-03-23 02:52:21.752+00
178,https://res.cloudinary.com/your-highness/image/upload/v1616473546/txthvetthlcjelh9q3su.jpg,126,healthy,cow,000010000000,Abc,dry,2015-03-23 04:23:09+00,hf - holstein friesian,256,2021-03-23 04:25:47.283+00,2021-03-23 04:25:47.284+00
179,https://res.cloudinary.com/your-highness/image/upload/v1616491035/exnamhjjbrmw8hxuekh9.jpg,132,healthy,cow,"",Chinna,calf,2019-03-23 09:10:14+00,jersey,200,2021-03-23 09:17:16.011+00,2021-03-23 09:17:16.011+00
180,https://res.cloudinary.com/your-highness/image/upload/v1616491098/lkorfxw0xvg489ppoage.jpg,132,healthy,cow,"",Chinna,calf,2019-03-23 09:10:14+00,jersey,200,2021-03-23 09:18:19.256+00,2021-03-23 09:18:19.256+00
181,https://res.cloudinary.com/your-highness/image/upload/v1616491127/sd3dm6ztyrir5x54gzah.jpg,135,healthy,cow,995925559632,Black,calf,2018-03-23 09:13:49+00,godavari,250,2021-03-23 09:18:48.218+00,2021-03-23 09:18:48.218+00
182,https://res.cloudinary.com/your-highness/image/upload/v1616491147/fac9mshotzyxqilo6pa5.jpg,132,healthy,cow,"",Chinna,calf,2019-03-23 09:10:14+00,jersey,200,2021-03-23 09:19:08.179+00,2021-03-23 09:19:08.179+00
183,https://res.cloudinary.com/your-highness/image/upload/v1616491183/z7tu4ytybr3sirlr86zl.jpg,134,healthy,cow,120645120645,Jercy,milking,2017-03-23 09:13:56+00,ongole,120,2021-03-23 09:19:44.233+00,2021-03-23 09:19:44.234+00
184,https://res.cloudinary.com/your-highness/image/upload/v1616491408/fadwkidaweb8kmpgs8gr.jpg,136,healthy,cow,"",Naladi,calf,2018-03-23 09:18:31+00,godavari,400,2021-03-23 09:23:28.835+00,2021-03-23 09:23:28.836+00
185,https://res.cloudinary.com/your-highness/image/upload/v1616491493/euwf439amr1y8grzlkxc.jpg,136,healthy,cow,"",Naladi,calf,2018-03-23 09:18:31+00,godavari,400,2021-03-23 09:24:54.123+00,2021-03-23 09:24:54.142+00
186,https://res.cloudinary.com/your-highness/image/upload/v1616496328/x9qzbs8yncfpudqthvol.jpg,138,sick,cow,321544541245,Cat3695,calf,2010-03-23 10:41:47+00,ongole,100,2021-03-23 10:45:29.284+00,2021-03-23 10:45:29.284+00
187,https://res.cloudinary.com/your-highness/image/upload/v1616497908/aqftjroiosqqenjo5qat.jpg,149,healthy,cow,184520000126542,laxmi,calf,2016-03-23 11:09:16+00,jersey,6,2021-03-23 11:11:49.2+00,2021-03-23 11:11:49.201+00
188,https://res.cloudinary.com/your-highness/image/upload/v1616498632/wkaf9dc1m3vmtqtjf75f.jpg,144,healthy,cow,123456789033,Rama,milking,2019-09-18 11:14:49+00,godavari,450,2021-03-23 11:23:53.222+00,2021-03-23 11:23:53.223+00
271,https://res.cloudinary.com/your-highness/image/upload/v1617029624/ogys4icdfkmkdssawjic.jpg,225,healthy,cow,934721700912,ఆయన ,calf,2018-03-29 14:51:23+00,godavari,250,2021-03-29 14:53:45.267+00,2021-03-29 14:53:45.268+00
280,https://res.cloudinary.com/your-highness/image/upload/v1618410861/tbvdc8az0o5funpu8aai.jpg,244,healthy,cow,"",Ramu,calf,2019-04-09 14:33:57+00,godavari,450,2021-04-14 14:34:21.691+00,2021-04-14 14:34:21.694+00
191,https://res.cloudinary.com/your-highness/image/upload/v1616498683/l2zazony7ad2h52mfg40.jpg,145,healthy,cow,123456789999,Cow,milking,2015-03-23 11:14:53+00,jersey,450,2021-03-23 11:24:43.938+00,2021-03-23 11:24:43.939+00
283,https://res.cloudinary.com/your-highness/image/upload/v1618423858/uqcaihaevg87qqzxhnnm.jpg,246,healthy,cow,"",Bihogo,calf,2019-04-24 18:10:19+00,jersey,450,2021-04-14 18:10:58.458+00,2021-04-14 18:10:58.458+00
193,https://res.cloudinary.com/your-highness/image/upload/v1616498728/vo3w5zea1apowlxegon1.jpg,145,healthy,cow,123456789015,Cow,milking,2015-03-23 11:14:53+00,jersey,450,2021-03-23 11:25:28.547+00,2021-03-23 11:25:28.547+00
284,https://res.cloudinary.com/your-highness/image/upload/v1618458750/gqhgloibyvpmore0cyw3.jpg,247,healthy,cow,"",Jersi,calf,2020-10-31 03:50:24+00,godavari,480,2021-04-15 03:52:30.472+00,2021-04-15 03:52:30.472+00
195,https://res.cloudinary.com/your-highness/image/upload/v1616498753/vhfqfqxeqweqs5kip43f.jpg,145,healthy,cow,123456789222,Cow,milking,2015-03-23 11:14:53+00,jersey,450,2021-03-23 11:25:54.134+00,2021-03-23 11:25:54.135+00
196,https://res.cloudinary.com/your-highness/image/upload/v1616498754/k1kaeo5nm7omuastxhy6.jpg,154,healthy,cow,1234567890124,laxmi,milking,2019-03-23 11:23:18+00,jersey,500,2021-03-23 11:25:55.309+00,2021-03-23 11:25:55.31+00
197,https://res.cloudinary.com/your-highness/image/upload/v1616498777/btu1bfcdmtdgly3axmrc.jpg,145,healthy,cow,123456789055,Cow,milking,2015-03-23 11:14:53+00,jersey,450,2021-03-23 11:26:18.174+00,2021-03-23 11:26:18.175+00
198,https://res.cloudinary.com/your-highness/image/upload/v1616498804/qbtlnbnudgqls7zqgukd.jpg,145,healthy,cow,1234567890.1,Cow,milking,2015-03-23 11:14:53+00,jersey,450,2021-03-23 11:26:45.105+00,2021-03-23 11:26:45.106+00
199,https://res.cloudinary.com/your-highness/image/upload/v1616498827/nvb14y1l40r05z2juhh8.jpg,145,healthy,cow,123456789035,Cow,milking,2015-03-23 11:14:53+00,jersey,450,2021-03-23 11:27:08.243+00,2021-03-23 11:27:08.243+00
200,https://res.cloudinary.com/your-highness/image/upload/v1616498857/qrxjhnbqkwlqaj7yzc4x.jpg,145,healthy,cow,121212121212,Cow,milking,2015-03-23 11:14:53+00,jersey,450,2021-03-23 11:27:37.816+00,2021-03-23 11:27:37.816+00
201,https://res.cloudinary.com/your-highness/image/upload/v1616498889/uyxpk0albpy3dmuhq422.jpg,145,healthy,cow,123456789023,Cow,milking,2015-03-23 11:14:53+00,jersey,450,2021-03-23 11:28:09.983+00,2021-03-23 11:28:09.984+00
202,https://res.cloudinary.com/your-highness/image/upload/v1616498913/bkinnsiii4pr9jysxe2b.jpg,145,healthy,cow,123451234512,Cow,milking,2015-03-23 11:14:53+00,jersey,450,2021-03-23 11:28:33.61+00,2021-03-23 11:28:33.61+00
203,https://res.cloudinary.com/your-highness/image/upload/v1616498946/uf9ovmg4osysjpngaowd.jpg,145,healthy,cow,123451234567,Cow,milking,2015-03-23 11:14:53+00,jersey,450,2021-03-23 11:29:06.824+00,2021-03-23 11:29:06.825+00
204,https://res.cloudinary.com/your-highness/image/upload/v1616498964/euk5dick820ynswxxsfr.jpg,145,healthy,cow,123451234566,Cow,milking,2015-03-23 11:14:53+00,jersey,450,2021-03-23 11:29:24.794+00,2021-03-23 11:29:24.794+00
205,https://res.cloudinary.com/your-highness/image/upload/v1616498999/rqbisnvnmzuoc8fjpb2i.jpg,145,healthy,cow,123456123456,Cow,milking,2015-03-23 11:14:53+00,jersey,450,2021-03-23 11:30:00.168+00,2021-03-23 11:30:00.168+00
206,https://res.cloudinary.com/your-highness/image/upload/v1616499039/rfgudsh1aeowf8qfffxy.jpg,145,healthy,cow,800876580808,Cow,milking,2016-03-23 11:14:53+00,jersey,450,2021-03-23 11:30:40.486+00,2021-03-23 11:30:40.486+00
207,https://res.cloudinary.com/your-highness/image/upload/v1616499071/t7y8pib9zwfn0yyivn4r.jpg,145,healthy,cow,098765432109,Cow,milking,2016-03-23 11:14:53+00,jersey,450,2021-03-23 11:31:12.272+00,2021-03-23 11:31:12.273+00
281,https://res.cloudinary.com/your-highness/image/upload/v1618411517/zrrpwhgmicg0mct4fqtm.jpg,245,healthy,cow,"",Ramu,calf,2019-04-14 14:44:55+00,godavari,450,2021-04-14 14:45:18.242+00,2021-04-14 14:45:18.242+00
209,https://res.cloudinary.com/your-highness/image/upload/v1616499949/ffvwm5cazaj4t91lz3gs.jpg,152,healthy,cow,147563287590,Laxmi,calf,2018-03-23 11:44:23+00,hf - holstein friesian,380,2021-03-23 11:45:50.766+00,2021-03-23 11:45:50.766+00
210,https://res.cloudinary.com/your-highness/image/upload/v1616500104/fdzupznmkbvqe4fgouuv.jpg,160,healthy,cow,323296863252,Brown,heifer,2015-03-02 11:42:54+00,jersey,440,2021-03-23 11:48:24.41+00,2021-03-23 11:48:24.411+00
211,https://res.cloudinary.com/your-highness/image/upload/v1616500302/fpxkfkel6bhhpmdbxr7t.jpg,147,healthy,cow,1568900001233,Rama,calf,2019-07-02 11:50:37+00,hf - holstein friesian,350,2021-03-23 11:51:42.513+00,2021-03-23 11:51:42.513+00
212,https://res.cloudinary.com/your-highness/image/upload/v1616501445/cmdcuhzn53sjs63ghgre.jpg,142,healthy,cow,123456789032,Gowri,calf,2020-01-02 12:09:57+00,hf - holstein friesian,445,2021-03-23 12:10:45.55+00,2021-03-23 12:10:45.551+00
235,https://res.cloudinary.com/your-highness/image/upload/v1616569132/a3zclkyvxfh9xgaplpmh.jpg,197,healthy,cow,582036947158,Jersey,milking,2020-05-08 06:54:22+00,jersey,500,2021-03-24 06:58:52.548+00,2021-03-24 06:58:52.549+00
214,https://res.cloudinary.com/your-highness/image/upload/v1616503483/zyeo5188nj30rwolszgt.jpg,157,healthy,cow,832821323799,Gouri,calf,2019-03-01 12:41:49+00,hf - holstein friesian,300,2021-03-23 12:44:43.648+00,2021-03-23 12:44:43.649+00
236,https://res.cloudinary.com/your-highness/image/upload/v1616569167/hevducsspr74zpcrojp5.jpg,197,healthy,cow,582036947158,Jersey,milking,2020-05-08 06:54:22+00,jersey,500,2021-03-24 06:59:27.368+00,2021-03-24 06:59:27.368+00
213,https://res.cloudinary.com/your-highness/image/upload/v1616502057/jmiyk9d15bameppdagrw.jpg,162,healthy,cow,123456789112,Cow,milking,2017-12-08 12:16:12+00,godavari,300,2021-03-23 12:20:58.311+00,2021-03-23 12:49:24.435+00
285,https://res.cloudinary.com/your-highness/image/upload/v1618458767/hmjtyfmzijlhrm5fpsxk.jpg,247,healthy,cow,"",Jersi,calf,2020-10-31 03:50:24+00,godavari,480,2021-04-15 03:52:47.421+00,2021-04-15 03:52:47.421+00
286,https://res.cloudinary.com/your-highness/image/upload/v1618461372/yozhkvgacrszur6ir3kb.jpg,248,heat,buffalo,256332566523,Arjuoop,heifer,2021-04-05 04:34:24+00,nilli ravi,250,2021-04-15 04:36:12.887+00,2021-04-15 04:36:12.888+00
217,https://res.cloudinary.com/your-highness/image/upload/v1616506245/tn4qttum7l6kbks3xo4p.jpg,157,sick,cow,957326879422,Sdha,milking,2019-01-01 13:28:19+00,sahiwal,400,2021-03-23 13:30:46.006+00,2021-03-23 13:30:46.007+00
218,https://res.cloudinary.com/your-highness/image/upload/v1616506370/xolrrqcpyjohlk9pnqjy.jpg,166,healthy,buffalo,000001234587,Laxmi,calf,2019-03-10 13:28:41+00,godavari,120,2021-03-23 13:32:50.566+00,2021-03-23 13:32:50.567+00
550,https://res.cloudinary.com/your-highness/image/upload/v1619619814/wpgq6l9wkjb1g22zlhgz.jpg,595,healthy,buffalo,550256320430,Rani,milking,2015-04-28 14:20:05+00,godavari,550,2021-04-28 14:23:34.966+00,2021-04-28 14:23:34.966+00
220,https://res.cloudinary.com/your-highness/image/upload/v1616509170/kifrhhq9zayf70exnvvm.jpg,179,healthy,buffalo,000000125436,Ksheera,calf,2019-02-04 14:17:37+00,godavari,150,2021-03-23 14:19:31.292+00,2021-03-23 14:19:31.292+00
221,https://res.cloudinary.com/your-highness/image/upload/v1616509464/u1ses1zaxug7fyrjdp0e.jpg,181,healthy,cow,"",Cow,calf,2017-03-03 14:19:46+00,jersey,150,2021-03-23 14:24:24.446+00,2021-03-23 14:24:24.447+00
222,https://res.cloudinary.com/your-highness/image/upload/v1616509558/gvmrqpbkfj6psgzk7cae.jpg,180,healthy,cow,"",Girri,calf,2017-03-03 14:25:41+00,godavari,200,2021-03-23 14:25:58.651+00,2021-03-23 14:25:58.652+00
223,https://res.cloudinary.com/your-highness/image/upload/v1616509578/gkvhtkxrxaqaanjulnoq.jpg,180,healthy,cow,"",Girri,calf,2017-03-03 14:25:41+00,godavari,200,2021-03-23 14:26:18.996+00,2021-03-23 14:26:18.996+00
