id,farmerId,feedback,createdAt,updatedAt
1,2,Thank you,2021-03-25 15:32:38.955+00,2021-03-25 15:32:38.955+00
2,36,My feedback,2021-03-25 15:41:01.75+00,2021-03-25 15:41:01.751+00
3,43,Nice app,2021-03-29 16:27:36.731+00,2021-03-29 16:27:36.734+00
4,43,55555,2021-03-29 16:27:59.56+00,2021-03-29 16:27:59.56+00
5,43,55555,2021-03-29 16:29:27.509+00,2021-03-29 16:29:27.509+00
6,43,55555,2021-03-29 16:30:07.939+00,2021-03-29 16:30:07.939+00
7,43,55555,2021-03-29 16:30:44.006+00,2021-03-29 16:30:44.007+00
8,43,55555,2021-03-29 16:40:57.672+00,2021-03-29 16:40:57.672+00
9,71,55555,2021-03-29 16:55:53.609+00,2021-03-29 16:55:53.609+00
10,63,A nice app,2021-03-29 17:09:53.527+00,2021-03-29 17:09:53.527+00
11,63,55555,2021-03-29 17:10:16.708+00,2021-03-29 17:10:16.708+00
12,63,A nice app,2021-04-14 16:47:55.82+00,2021-04-14 16:47:55.82+00
13,63,A nice app,2021-04-14 16:51:33.896+00,2021-04-14 16:51:33.896+00
14,63,A nice app,2021-04-14 16:52:14.137+00,2021-04-14 16:52:14.137+00
15,63,A nice app,2021-04-14 16:54:42.138+00,2021-04-14 16:54:42.138+00
16,63,A nice app,2021-04-14 16:55:34.09+00,2021-04-14 16:55:34.09+00
17,254,555555,2021-04-17 14:51:18.589+00,2021-04-17 14:51:18.589+00
18,89,"Easily used directly videos and customer call login 
Useful for the app easily treatment on animals with in hrs doctors care helpful forthe  app ,thankyou for the hfl vet+",2021-04-20 05:37:42.985+00,2021-04-20 05:37:42.985+00
19,141,Please Location Name Change ,2021-04-28 10:46:43.842+00,2021-04-28 10:46:43.842+00
20,141,"Please Change In My Profile 
Unite Name ",2021-04-28 10:59:01.179+00,2021-04-28 10:59:01.179+00
21,2067,Good application,2021-05-01 08:52:57.959+00,2021-05-01 08:52:57.959+00
22,293,Feed calculator not working sir,2021-05-03 14:41:18.516+00,2021-05-03 14:41:18.516+00
23,341,App very useful.,2021-05-04 14:47:51.77+00,2021-05-04 14:47:51.77+00
24,313,77777,2021-05-04 14:51:19.974+00,2021-05-04 14:51:19.976+00
25,1070,Good idea sir,2021-05-04 15:17:08.225+00,2021-05-04 15:17:08.225+00
26,301,11111,2021-05-04 15:22:53.117+00,2021-05-04 15:22:53.117+00
27,319,Good farmers don't need Doctor,2021-05-04 15:23:14.166+00,2021-05-04 15:23:14.166+00
28,301,11111,2021-05-04 15:32:33.262+00,2021-05-04 15:32:33.263+00
29,21,Ok good,2021-05-04 15:50:12.313+00,2021-05-04 15:50:12.313+00
30,416,"This app is great. Farmers can get advice through the app for those who can't find doctors during this corona time.


",2021-05-04 16:46:18.299+00,2021-05-04 16:46:18.299+00
31,2259,122629,2021-05-05 10:08:41.353+00,2021-05-05 10:08:41.353+00
32,658,00000,2021-05-05 14:44:37.609+00,2021-05-05 14:44:37.609+00
33,141,White to green color,2021-05-05 22:39:58.352+00,2021-05-05 22:39:58.354+00
34,261,Very good,2021-05-06 11:10:47.007+00,2021-05-06 11:10:47.007+00
35,695,"
55555",2021-05-06 12:06:56.073+00,2021-05-06 12:06:56.073+00
36,3172,Very useful sir,2021-05-06 14:41:21.381+00,2021-05-06 14:41:21.381+00
37,3149,Think you,2021-05-07 15:49:39.034+00,2021-05-07 15:49:39.034+00
38,3149,Ok super,2021-05-08 05:28:54.789+00,2021-05-08 05:28:54.789+00
39,3354,"How to change phone no. I have not opened account with the no. I have registered please, I request to help you  . Nice  
 not getting results",2021-05-11 04:06:04.292+00,2021-05-11 04:06:04.292+00
40,3529,बहुत अच्छा लेकिन मिल्क  डेटा को ऑनलाइन करे जिससे ग्राहक डेरी के प्रति रुजन भड़केगा ,2021-05-15 06:14:35.215+00,2021-05-15 06:14:35.217+00
41,197,Staff,2021-05-17 08:04:14.534+00,2021-05-17 08:04:14.535+00
42,3445,Please any information tell me sir ,2021-05-17 09:35:03.49+00,2021-05-17 09:35:03.492+00
43,1561,"तुमच्या कंपनीची गोळीपेंड गाई- वासरे खात नाहित, वास घेऊन माघे सरतात.",2021-05-18 06:20:40.352+00,2021-05-18 06:20:40.353+00
44,1561,Snf आणि fat कमी लागत आहे. दूधही कमी निघत आहे.,2021-05-18 06:24:48.575+00,2021-05-18 06:24:48.575+00
45,3375,Nice app very useful to farmers ,2021-05-19 15:12:24.717+00,2021-05-19 15:12:24.717+00
46,3622,Five star rating 5555,2021-05-20 02:53:37.428+00,2021-05-20 02:53:37.428+00
47,3981,555555555,2021-05-21 19:59:32.389+00,2021-05-21 19:59:32.39+00
48,4302,Good Good,2021-05-24 07:46:19.607+00,2021-05-24 07:46:19.607+00
49,4307,"I am not getting message from you for daily milk, fat, snf, lit. ",2021-05-25 09:35:38.8+00,2021-05-25 09:35:38.8+00
50,405,55558,2021-05-25 14:49:33.253+00,2021-05-25 14:49:33.254+00
51,4400,Rajesha ,2021-05-25 15:49:21.198+00,2021-05-25 15:49:21.198+00
52,511,Service is very good thank  u heritage company,2021-05-26 00:32:21.476+00,2021-05-26 00:32:21.476+00
53,511,Very good app to milk formers.thank u heritage,2021-05-26 03:03:24.555+00,2021-05-26 03:03:24.555+00
54,548,55555 staff,2021-05-26 06:35:58.384+00,2021-05-26 06:35:58.384+00
55,4516,Madagondapalli location Vet+ application Good useful information given to all farmers.,2021-05-26 06:51:44.603+00,2021-05-26 06:51:44.603+00
56,3727,This app is very useful to famer who conducting dairy farm,2021-05-26 07:35:33.167+00,2021-05-26 07:35:33.167+00
57,197,"""55555""",2021-05-26 10:35:43.829+00,2021-05-26 10:35:43.835+00
58,2886,Very useful app 👍,2021-05-27 11:01:13.527+00,2021-05-27 11:01:13.528+00
59,436,555555,2021-05-28 01:42:59.112+00,2021-05-28 01:42:59.112+00
60,451,555555,2021-05-31 07:40:52.97+00,2021-05-31 07:40:52.971+00
61,782,Farmarski rate laynapudu appla antha endhuku,2021-06-01 03:32:26.053+00,2021-06-01 03:32:26.053+00
62,464,"5555555
",2021-06-04 03:02:34.296+00,2021-06-04 03:02:34.296+00
63,472,5555555,2021-06-04 16:48:13.815+00,2021-06-04 16:48:13.815+00
64,4934,Deleted my account ,2021-06-08 15:56:06.609+00,2021-06-08 15:56:06.609+00
65,6072,Ur  app is wrong details pls change details,2021-06-09 12:59:39.1+00,2021-06-09 12:59:39.1+00
66,793,Excellent ,2021-06-10 05:49:47.008+00,2021-06-10 05:49:47.008+00
67,6347,good usefull to farmers thank u ,2021-06-10 06:05:42.154+00,2021-06-10 06:05:42.154+00
68,472,555555,2021-06-10 12:03:38.901+00,2021-06-10 12:03:38.901+00
69,6881,Good ,2021-06-11 01:56:34.198+00,2021-06-11 01:56:34.198+00
70,6794,Vet + app use in animals healthy,2021-06-11 06:54:19.301+00,2021-06-11 06:54:19.301+00
71,472,555555,2021-06-11 13:39:27.201+00,2021-06-11 13:39:27.202+00
72,7420,"55555
",2021-06-12 06:36:57.334+00,2021-06-12 06:36:57.334+00
73,5035,"May i know what is purpose here

What u ppl telling any benefits?

If anything launched?

",2021-06-13 09:41:00.211+00,2021-06-13 09:41:00.211+00
74,506,"55555
",2021-06-13 12:56:21.149+00,2021-06-13 12:56:21.149+00
75,464,"55555
",2021-06-13 14:36:17.051+00,2021-06-13 14:36:17.051+00
76,6315,555555,2021-06-14 15:50:03.118+00,2021-06-14 15:50:03.118+00
77,464,"55555
",2021-06-15 04:30:30.809+00,2021-06-15 04:30:30.809+00
78,8849,Very useful this app,2021-06-15 10:26:12.699+00,2021-06-15 10:26:12.7+00
79,9329,00000,2021-06-15 11:29:38.462+00,2021-06-15 11:29:38.462+00
80,335,5555555555,2021-06-16 09:35:09.869+00,2021-06-16 09:35:09.87+00
81,464,"55555
",2021-06-16 14:22:17.596+00,2021-06-16 14:22:17.596+00
82,11006,"55555
",2021-06-16 14:23:16.058+00,2021-06-16 14:23:16.058+00
83,11974,MCC 216 kakkadasam unit supply milk vet+ app useful for animal ventinary thank as regards,2021-06-17 13:18:17.833+00,2021-06-17 13:18:17.833+00
84,11941,It is very useful ,2021-06-17 13:44:40.315+00,2021-06-17 13:44:40.316+00
85,12236,Vet + happy useful in farmers in mcc 111 vyzoor agarharam chinataiamma kakkadasam unit,2021-06-17 14:42:30.233+00,2021-06-17 14:42:30.233+00
86,12445,"55555

",2021-06-18 01:34:17.321+00,2021-06-18 01:34:17.321+00
87,12898,MCC 217 Radha Kakkadasam unit vet+ app useful ,2021-06-18 04:06:39.017+00,2021-06-18 04:06:39.017+00
88,12922,555555,2021-06-18 04:49:54.602+00,2021-06-18 04:49:54.603+00
89,14090,Vet app usefu mcc 4 nagaredipaylam kakkadasam unit,2021-06-19 04:52:40.335+00,2021-06-19 04:52:40.335+00
90,14771,I like this app and full help full our cows ,2021-06-20 04:14:09.744+00,2021-06-20 04:14:09.744+00
